gene,control_mean,treatment_mean,log2FC,p_value,neg_log10_p,regulation
b4423,1.120374228,0.9197243975,-0.20064983049999996,0.8658650868178359,0.06254977151038929,ns
b2804,-0.3863132809999996,-0.40512969050000036,-0.01881640950000074,0.8658934785102564,0.06253553123972096,ns
b4688,-1.6715764634999999,-1.5656797945000003,0.10589666899999961,0.8659108692559071,0.06252680888620307,ns
b2003,0.446616888,0.589075946,0.14245905800000003,0.866118921109928,0.06242247376092035,ns
b2456,0.8051657078214314,0.8492685243635161,0.0441028165420847,0.8673977147697396,0.06178172637010141,ns
b0188,0.17218465800000074,0.1909198895000008,0.01873523150000006,0.8677418046955777,0.0616094792898494,ns
b0164,-0.5199541765,-0.5893530475,-0.06939887099999997,0.8686670437419882,0.06114665482234152,ns
b3078,0.03504213950000007,-0.041886930999999954,-0.07692907050000003,0.869345369381085,0.06080765483048093,ns
b4327,-1.3663891475,-1.3333301555000001,0.033058991999999954,0.8694755236392127,0.06074263919093631,ns
b4000,-0.7911886400000006,-0.8021351950000009,-0.010946555000000302,0.8717904750776254,0.05958788026422323,ns
b0868,-1.0160100604999993,-1.026688748499999,-0.010678687999999603,0.8720892860960608,0.05943904892780001,ns
b3955,0.040109830000000395,0.0520790145000012,0.011969184500000805,0.8726045229798662,0.05918254026037578,ns
